标题,租金,房型,租赁方式,装修,区域1,区域2,面积,朝向,住宅类型,小区名,地址,年代,容积率,绿化率,链接
青春驿站，地铁口精装1房，房东自住，保养好，现空关，随时入住,3500,1室1厅1卫,整租,精装修,松江区,九亭,47平米,南,普通住宅,青春驿站公寓,九新公路33弄1-6号                                                    ,2006年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085549932
房子整体保养的很好，可以拎包入住,4800,2室1厅1卫,整租,简单装修,浦东新区,金杨,58平米,北,公寓,香山新村西南街坊,灵山路1724弄                                                    ,1997年,1.2,39%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084097296
天宝绿洲 精装三房 紧邻四平路双规地铁 近同济大学 方便停车,3600,3室2厅2卫,合租,精装修,虹口区,和平公园,25平米,南,普通住宅,天宝绿洲,四平路850弄                                                    ,2002年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083905584
万顺水原墅近地铁、步行5min、联排别墅、送双车位、急租,6500,4室3厅4卫,整租,毛坯,闵行区,颛桥,235平米,南北,别墅,万顺水原墅(别墅),都市路777弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083644284
丽兹诚荐：西式花园，错落有致，全屋地暖，现代简约，时尚风格！,55000,4室3厅7卫,整租,精装修,浦东新区,张江,391平米,南,别墅,汤臣湖庭花园二期,罗山路2255弄                                                    ,2007年,0.37,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083562234
一年精装修 价格能谈 随时看房 配套成熟 近地铁站 直达浦西,3800,1室1厅1卫,合租,中等装修,浦东新区,南码头,37平米,南,普通住宅,临沂一村,浦东南路2351弄14-21号                                                    ,1986年,1.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083394168
地铁600米！万达广场旁，精装2房，随时拎包入住，性价比高！,4000,2室2厅1卫,整租,精装修,嘉定区,嘉定新城,84平米,南,公寓,上海常发豪庭国际,希望路1333弄                                                    ,2013年,暂无,52%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081355926
瑞虹新城怡庭南北套大3房，全新家具全新装修,23000,3室2厅2卫,整租,简单装修,虹口区,临平路,152平米,南北,普通住宅,瑞虹新城怡庭,瑞虹路233弄                                                    ,2002年,3.39,39%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085628759
翠湖天地隽荟四期 首。次出租 家具可配  Edison实勘！,40000,4室2厅3卫,整租,豪华装修,黄浦区,新天地,288平米,南北,公寓,瑞安翠湖天地,顺昌路247号                                                    ,1995年,4,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085854070
东方城市花园！精装2厅2卫 大门口出行方便 6号线地铁口,8800,2室2厅2卫,合租,精装修,浦东新区,南码头,122平米,南北,公寓,东方城市花园(二期),东方路1881弄                                                    ,2005年,1.75,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085815862
泰和新城 两室精装修 低楼层看房方便 随时可看,3000,2室2厅1卫,整租,精装修,宝山区,顾村,79平米,南,公寓,泰和新城(南区),泰和西路3381弄                                                    ,2000年,1.24,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080746372
2号线北新泾 有钥匙 小区中间 性价比高 房东自住 全明户型,3500,1室1厅1卫,整租,精装修,长宁区,北新泾,60平米,南,普通住宅,新泾三村,新泾三村5-160号                                                    ,1988年,1.85,27%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1080542792
（荐）阳光威尼斯精装两房 拎包入住 居家享受 品质住房,4800,2室2厅1卫,整租,精装修,普陀区,阳光威尼斯,101平米,南北,普通住宅,阳光威尼斯一期,靖边路299弄                                                    ,2006年,1.27,47%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080446030
地铁8号线杨思站 精装朝南单间 拎包入住 付一压一 随时看房,1800,1室1厅1卫,合租,精装修,浦东新区,杨思,18平米,南,普通住宅,东方悦居苑,杨思路1121弄                                                    ,2008年,1.6,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085930077
万科魅力之城精装大3房出租，一楼带40平米花园，近地铁9号线,8000,3室2厅2卫,整租,精装修,闵行区,七宝,124平米,南,普通住宅,万科魅力之城,中春路8888弄326-395号                                                    ,2004年,2.3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085078221
16房东出国 婚房装修 家电全配 拎包入住随时看房 房东诚租,3300,2室2厅1卫,整租,中等装修,闵行区,春申,96平米,南北,普通住宅,银河新都(北区),绿莲路100弄                                                    ,2006年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084577671
11号线秀沿站，精装一室户，独立卫生间，可长签短租，拎包入住,1799,1室1卫,合租,精装修,浦东新区,康桥,27平米,南,普通住宅,秀怡苑,环桥路1137弄                                                    ,2007年,1.97,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083552079
奥林匹克小区环境优美适宜居住 有钥匙精装全配赶紧来租,4500,2室2厅1卫,整租,精装修,松江区,九亭,83平米,南北,普通住宅,上海奥林匹克花园(二期),涞寅路106弄                                                    ,2008年,1.26,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085950308
城市经典高迪高区一房，高绿化小区，看房方便随时可入住整租,5000,1室2厅1卫,整租,精装修,浦东新区,张江,64平米,南,公寓,城市经典高迪,青桐路618弄                                                    ,2006年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085365326
精装一居室 紧邻地铁站 新天地商圈 生活舒适 交通便利,17000,1室2厅1卫,整租,精装修,黄浦区,新天地,82平米,东南,普通住宅,巴卡拉东苑,济南路8号                                                    ,2008年,5.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086010895
周边配套齐全 采光良好 地铁678号线 房东诚租 欢迎致电,1800,1室1厅1卫,整租,精装修,浦东新区,上南,36平米,南,普通住宅,上南一村,上南路929弄                                                    ,1983年,1.6,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085427797
精装三房  温馨舒适  家电齐全 给你家的感觉  回家吧朋友,3500,3室2厅2卫,整租,精装修,青浦区,朱家角,120平米,南北,公寓,泰安公寓(四期),浦泰路501弄                                                    ,2012年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085152553
押一付一 0中介 全装全配 随时看房 独立卫浴 交通便利,2700,3室1厅1卫,合租,精装修,闵行区,梅陇,29平米,南,普通住宅,上海欣苑西班牙名园,罗秀路1980弄                                                    ,2003年,2.2,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084409135
扬子江家园，精装两室两厅，9/13号双规交汇，拎包入住，随时,6000,2室2厅2卫,整租,豪华装修,黄浦区,打浦桥,108平米,南,普通住宅,扬子江家园,打浦路258弄1-9号                                                    ,2005年,2.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085699020
虹叶花苑 精装修全配 地铁4号10号线 拎包即可入住 带车位,9000,3室2厅2卫,整租,精装修,虹口区,四川北路,138平米,南北,普通住宅,虹叶花苑,长春路158号                                                    ,1996年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085357278
南长苑，别观望了了，向南朝向，屋内家具齐全，可直接入住,3000,1室1卫,整租,精装修,静安区,曹家渡,35平米,南,普通住宅,南长苑,长宁路209弄                                                    ,1996年,暂无,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085321596
君御豪庭全南大两房，采光好，新装修，拎包入住,16000,2室2厅1卫,整租,精装修,静安区,江宁路,88平米,南,公寓,君御豪庭,西康路633弄                                                    ,2008年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085231608
保利叶上海（一至二期）2室2厅1卫(个人),4300,2室2厅1卫,整租,精装修,宝山区,顾村,78平米,南,普通住宅,保利叶上海(一期公寓),菊太路1198弄                                                    ,2010年,1.35,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085190214
整租 罗阳东四村精装全配 支持押零付一 价格可谈 低楼层,2900,1室1厅1卫,整租,精装修,闵行区,梅陇,34平米,南,普通住宅,罗阳东四村,莲花南路565弄1-57号                                                    ,1994年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084637476
新出两房近11号线）有钥匙民苑小区）全明豪装）可拎包入住）,6300,2室2厅1卫,整租,精装修,徐汇区,徐汇滨江,70平米,南北,普通住宅,民苑小区,云锦路201弄                                                    ,1999年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084561564
精装2房全配，南北通透采光超好，小区人文环境很棒。,5700,3室2厅1卫,整租,精装修,浦东新区,碧云,82平米,南,公寓,罗山花苑,明月路199弄                                                    ,1998年,1.22,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083742768
邻苏河湾地铁8/12/1号线 紧邻大悦城 人民广场 南京西路,6890,2室1厅1卫,整租,精装修,静安区,老北站,63平米,南,公寓,南星小区,新疆路425号                                                    ,1988年,2.3,27%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083040366
近地铁 上海西站附近出租一房 随时看房 拎包入住,3500,1室1厅1卫,整租,中等装修,普陀区,真如,40平米,南,普通住宅,真北一街坊,大渡河路2087弄                                                    ,1990年,1.6,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1081901602
春天花园，一居室，新装修，近地铁，拎包入住。,7800,1室2厅1卫,整租,精装修,长宁区,天山,71平米,南,普通住宅,春天花园,娄山关路999弄                                                    ,2004年,2.5,46%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080557986
精装双南两房 小区中心位置 近地铁12号线 近漕河泾拎包入住,3600,2室1厅1卫,整租,精装修,闵行区,漕宝,61平米,南,普通住宅,平南三村,平南三村                                                    ,1996年,1.5,26%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085619087
毕加索小镇二期 精装修两室两厅一卫 出租,5000,2室2厅1卫,整租,精装修,浦东新区,唐镇,90平米,南,普通住宅,张江国际豪庭(毕加索小镇二期公寓),银樽路58弄                                                    ,2011年,1.5,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085539119
高档小区 实地看房，5室2厅2卫，南北户型，交通便利,13000,5室2厅1卫,整租,精装修,浦东新区,杨思,156平米,南北,普通住宅,尚东国际名园(一期),板泉路1555弄                                                    ,2008年,1.14,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084972581
！近一号线精装大两房！紧靠儿科医院！拎包入住 ！随时看房,4000,2室1厅1卫,整租,精装修,闵行区,古美,75平米,南,普通住宅,古美西路316弄小区,古美西路316弄30-166号                                                    ,1997年,1.2,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083809949
"地铁沿线,温馨美居,全新全配,紧邻万体馆徐汇苑旁边",7000,2室2厅2卫,整租,精装修,徐汇区,龙华,115平米,南北,普通住宅,强生花苑,龙华西路398弄                                                    ,2000年,3.3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082150697
自住装修 温馨舒适 豪华大气 采光很好 拎包即住 随时看房,12000,1室1厅1卫,整租,精装修,长宁区,古北,75平米,南北,普通住宅,御翠豪庭,黄金城道688弄1-18号                                                    ,2008年,3.5,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084536230
